RECORD TYPE,PURCHASE ORDER NUMBER,ITEM NUMBER,ITEM DESCRIPTION,ITEM UNIT COST,ITEM QUANTITY ORDERED,ITEM UNIT OF MEASURE,ITEM TOTAL COST,UNIQUE ID
D,PO150907,44,4G DRAM (2G+2G) FOR CISCO ISR 4400                 MEM-4400-4G                                        STATE CONTRACT NUMBER 4400003810 LN 1             QUOTE # 11652903-02                                LOCATION: DOWNTOWN IS DEPT.,0,1,EA,0,PO1509070044
D,PO150907,45,2G DRAM (1DIMM) FOR CISCO ISR 4400                 DATA PLANE MEM-4400-DP-2G                          STATE CONTRACT NUMBER 4400003810 LN 1             QUOTE # 11652903-02                                LOCATION: DOWNTOWN IS DEPT.,0,1,EA,0,PO1509070045
D,PO150907,46,8G COMPACT FLASH MEMORY FOR CISCO ISR 4450         MEM-FLASH-8G                                       STATE CONTRACT NUMBER 4400003810 LN 1             QUOTE # 11652903-02                                LOCATION: DOWNTOWN IS DEPT.,0,1,EA,0,PO1509070046
D,PO150907,47,COVER FOR EMPTY POE SLOT ON CISCO ISR 4450         POE-COVER-4450                                     STATE CONTRACT NUMBER 4400003810 LN 1             QUOTE # 11652903-02                                LOCATION: DOWNTOWN IS DEPT.,0,2,EA,0,PO1509070047
D,PO150907,48,CISCO ISR 4400 SERIES IOS XE UNIVERSAL             SISR4400UK9-315S                                   STATE CONTRACT NUMBER 4400003810 LN 1             QUOTE # 11652903-02                                LOCATION: DOWNTOWN IS DEPT.,0,1,EA,0,PO1509070048
D,PO150907,49,AC POWER CORD (NORTH AMERICA) C13 NEMA 5-15P     2.1M  CAB-AC                                       STATE CONTRACT NUMBER 4400003810 LN 1             QUOTE # 11652903-02                                LOCATION: DOWNTOWN IS DEPT.,0,2,EA,0,PO1509070049
D,PO150907,50,INTERNET ROUTER CISCO ISR 4451 (4GE3NIM2SM8G   FLASH 4G DRAM) ISR4451-X/K9                       STATE CONTRACT NUMBER 4400003810 LN 1             VENDOR QUOTE #11652903-02                          LOCATION: ATM/EOC HARDING BLVD.,8680,1,EA,8680,PO1509070050
D,PO150907,51,SOFTWARE MAINTENANCE AND SUPPORT SMARTNET         8X5XNBD CISCO ISR4451 4GE  CON-SNT-ISR45XK9        FOR 36 MONTHS                                      STATE CONTRACT #4400003810 LINE 1                 VENDOR QUOTE # 11652903-02,4449.6,1,EA,4449.6,PO1509070051
D,PO150907,52,IP BASE LICENSE FOR CISCO ISR 4400 SERIES          SL-44-IPB-K9                                       STATE CONTRACT #4400003810 LINE 1                 VENDOR QUOTE # 11652903-02                         LOCATION: ATM/EOC HARDING BLVD.,2480,1,EA,2480,PO1509070052
D,PO150907,53,AC POWER SUPPLY FOR CISCO ISR 4450 AND ISR4350     PWR-4450-AC                                        STATE CONTRACT NUMBER 4400003810 LN 1             QUOTE # 11652903-02                                LOCATION: ATM/EOC HARDING BLVD.,0,1,EA,0,PO1509070053
D,PO150907,54,AC POWER SUPPLY (SECONDARY PS) FOR CISCO ISR       4450   PWR-4450-AC/2                               STATE CONTRACT NUMBER 4400003810 LN 1             QUOTE # 11652903-02                                LOCATION: ATM/EOC HARDING BLVD.,496,1,EA,496,PO1509070054
D,PO150907,55,BLANK FACEPLATE FOR NIM SLOT ON CISCO ISR 4400     NIM-BLANK                                          STATE CONTRACT NUMBER 4400003810 LN 1             QUOTE # 11652903-02                                LOCATION: ATM-EOC HARDING BLVD.,0,3,EA,0,PO1509070055
D,PO150907,56,REMOVABLE FACEPLATE FOR SM SLOT ON CISCO 2900     3900 4400 ISR  SM-S-BLANK                         STATE CONTRACT NUMBER 4400003810 LN 1             QUOTE # 11652903-02                                LOCATION: ATM/EOC HARDING BLVD.,0,2,EA,0,PO1509070056
D,PO150907,57,4G DRAM (2G+2G) FOR CISCO ISR 4400                 MEM-4400-4G                                        STATE CONTRACT NUMBER 4400003810 LN 1             QUOTE # 11652903-02                                LOCATION: ATM/EOC HARDING BLVD.,0,1,EA,0,PO1509070057
D,PO150907,58,2G DRAM (1DIMM) FOR CISCO ISR 4400                 DATA PLANE MEM-4400-DP-2G                          STATE CONTRACT NUMBER 4400003810 LN 1             QUOTE # 11652903-02                                LOCATION: ATM/EOC HARDING BLVD.,0,1,EA,0,PO1509070058
D,PO150907,59,8G COMPACT FLASH MEMORY FOR CISCO ISR 4450         MEM-FLASH-8G                                       STATE CONTRACT NUMBER 4400003810 LN 1             QUOTE # 11652903-02                                LOCATION: ATM/EOC HARDING BLVD.,0,1,EA,0,PO1509070059
D,PO150907,60,COVER FOR EMPTY POE SLOT ON CISCO ISR 4450         POE-COVER-4450                                     STATE CONTRACT NUMBER 4400003810 LN 1             QUOTE # 11652903-02                                LOCATION: ATM/EOC HARDING BLVD.,0,2,EA,0,PO1509070060
D,PO150907,61,CISCO ISR 4400 SERIES IOS XE UNIVERSAL             SISR4400UK9-315S                                   STATE CONTRACT NUMBER 4400003810 LN 1             QUOTE # 11652903-02                                LOCATION: ATM/EOC HARDING BLVD.,0,1,EA,0,PO1509070061
D,PO150907,62,AC POWER CORD (NORTH AMERICA) C13 NEMA 5-15P     2.1M  CAB-AC                                       STATE CONTRACT NUMBER 4400003810 LN 1             QUOTE # 11652903-02                                LOCATION: ATM/EOC HARDING BLVD.,0,2,EA,0,PO1509070062
D,PO150907,63,SWITCHES CATALYST 2960-X 24 GIGE 2 X 10G SFP+    LAN BASE WS-C2960X-24TDL                           STATE CONTRACT #4400003810 LINE 1                 VENDOR QUOTE # 11652903-02,2352.9,2,EA,4705.8,PO1509070063
D,PO150907,65,AC POWER CORD 16AWG                               CAB-16AWG-AC                                       STATE CONTRACT #4400003810 LINE 1                 VENDOR QUOTE # 11652903-02,0,2,EA,0,PO1509070065
D,PO150907,66,CONSOLE CABLE 6 FT WITH USB TYPE A AND MINI-B      CAB-CONSOLE-USB                                    STATE CONTRACT #4400003810 LINE 1                 VENDOR QUOTE # 11652903-02,18.6,2,EA,37.2,PO1509070066
D,PO150907,67,POWER RETAINER CLIP FOR CISCO 3560-C AND 2960-C    COMPACT SWIT  PWR-CLP                              STATE CONTRACT #4400003810 LINE 1                 VENDOR QUOTE # 11652903-02,0,2,EA,0,PO1509070067
D,PO150907,68,KEY FOR CISCO ENERGYWISE MGMT (JOULEX) 45 DAY      TRIAL LICENSE   EW-JX-50SW                         STATE CONTRACT #4400003810 LINE 1                 VENDOR QUOTE # 11652903-02,0,2,EA,0,PO1509070068
D,PO150907,69,INSTALLATION COST OF EQUIPMENT - PS-SVC-FF         SYSTEMS ENGINEERING AND PLANNING PHASE COMPLETE    STATE CONTRACT #4400003810 LINE 1                 VENDOR QUOTE # 11652903-02,8126.67,1,JB,8126.67,PO1509070069
D,PO150907,70,INSTALLATION COST OF EQUIPMENT -  PS-SVC-FF        EXECUTION PHASE COMPLETE                           STATE CONTRACT #4400003810 LINE 1                 VENDOR QUOTE # 11652903-02,12190,1,JB,12190,PO1509070070
D,PO150907,71,INSTALLATION COST OF EQUIPMENT - PS-SVC-FF         TRAVEL EXPENSES - NO CHARGE TO CITY PARISH         STATE CONTRACT #4400003810 LINE 1                 VENDOR QUOTE # 11652903-02,0,1,JB,0,PO1509070071
D,PO150907,72,ASA 5506--X WITH FIREPOWER SERVICES 8GE AC      3DES/AES HARDWARE    ASA5506-K9                    STATE CONTRACT NUMBER 4400003810 LN 1             VENDOR QUOTE #11664726-02,616.9,6,EA,3701.4,PO1509070072
D,PO150907,73,SMARTNET 8X5XNBD ASA 5506-X W/FIREPOWER SERVICES   8GE FOR 36 MONTHS      CON-SNT-ASA5506K           STATE CONTRACT NUMBER 4400003810 LN 1             VENDOR QUOTE #11664726-02,285.6,6,EA,1713.6,PO1509070073
D,PO150907,74,ASA 5506-X SSD                                     ASA5506-SSD                                        STATE CONTRACT NUMBER 4400003810 LN 1             VENDOR QUOTE #11664726-02,0,6,EA,0,PO1509070074
D,PO150907,76,CISCO ASA5506 CONTROL LICENSE                      ASA5506-CTRL-LIC                                   STATE CONTRACT NUMBER 4400003810 LN 1             VENDOR QUOTE #11664726-02,0,6,EA,0,PO1509070076
D,PO150907,77,ASA 9.4 SOFTWARE IMAGE FOR ASA 5506/5508/5516      SERIES    SF-ASA-K-9.4-K8                          STATE CONTRACT NUMBER 4400003810 LN 1             VENDOR QUOTE #11664726-02,0,6,EA,0,PO1509070077
D,PO150907,78,AC POWER CORD (NORTH AMERICA) C13 NEMA 5-15P     2.1M   CAB-AC                                      STATE CONTRACT NUMBER 4400003810 LN 1             VENDOR QUOTE #11664726-02,0,6,EA,0,PO1509070078
D,PO150907,79,ASA 5500 STRONG ENCRYPTION LICENSE (3DES/AES)      ASA5500-ENCR-K9                                    STATE CONTRACT NUMBER 4400003810 LN 1             VENDOR QUOTE #11664726-02,0,6,EA,0,PO1509070079
D,PO150907,80,ASA 5506-X POWER ADAPTOR                           ASA5506-PWR-AC                                     STATE CONTRACT NUMBER 4400003810 LN 1             VENDOR QUOTE #11664726-02,0,6,EA,0,PO1509070080
D,PO150910,1,CONSULTING SERVICES FOR THE SWWTP STORM WATER      POLLUTION PREVENTION PLAN UPDATES BEING           PROJECT NO. 15-TP-MS-0032                          PROPOSAL NO. P151904.0056.                         SBE: NONE,4500,1,JB,4500,PO1509100001
D,PO150912,2,"Q704 SWING AWAY WITH ACTIVE DOCK & THIN KEYBOARD   TRAY FOR IKEY LUN-UNV-SASK4-Q704DC                INCLUDES ADJUSTABLE 10"" TO 16"" TUBULAR SUPPORT    BACKLIT KEYBOARD W/INTEGRATED TOUCHPAD LIND DC    ADAPTER & CHARGE GUARD AT NO COST",1609,20,EA,32180,PO1509120002
D,PO150912,4,NUSHIELD-FUJITSU Q704 TPU CASE                     DAYLIGHT SCREEN PROTECTOR                          ACC-NU406,29,20,EA,580,PO1509120004
D,PO150912,5,"ADJUSTABLE 10"" - 16"" SUPPORT BRACE  -              ATTACHES TO ANY POLE ASSEMBLY                      LUN-BRACE2                                         ***** NO CHARGE *****",0,20,EA,0,PO1509120005
D,PO150912,6,LIND DC ADAPTER FOR FUJITSU STYLISTIC Q702/704     S/T INPUT WITH 10 SECOND LIVCO DELAY               ACC-LIND-702-SB                                    ***** NO CHARGE *****,0,20,EA,0,PO1509120006
D,PO150912,7,TG3 USB BACKLIT KEYBOARD W/ TOUCH PAD              XPL-BLT                                            ***** NO CHARGE *****,0,20,EA,0,PO1509120007
D,PO150912,8,CHARGE GUARD TIMEOUT TIMER                         CHARGEGUARD CG-X                                   ***** NO CHARGE *****,0,20,EA,0,PO1509120008
D,PO150916,1,RADIOLOGY REVIEW SERVICES FOR THE INMATES AT EBR   PARISH PRISON AT THE RATE OF $10.00/X-RAY REVIEW   NOT TO EXCEED $10000.00 ANNUALLY FOR THE PERIOD   OF JANUARY 1 2015 THROUGH DECEMBER 31 2015.,10000,1,JB,10000,PO1509160001
D,PO150916,2,THE FOLLOWING PAYMENT VOUCHERS WERE USED TO MAKE   PAYMENTS TOTALING $5930. VOUCHERS 11142386       11162753 11162769 11162786 11173414 11173414  11142498 11173477 AND 11142407. PER RENE CASHIO   08-12-2015.,0,1,JB,0,PO1509160002
D,PO150921,2,VENDOR TO PROVIDE THE FOLLOWING EQUIPMENT:         10  HID RP 40 MULTICLASS CARD READERS              4   BRIVO IPDC-1 A SINGLE READER ACCESS CONTROL        MODULES                                        3   BRIVO IPDC-2A TWO READER ACCESS CONTROL MODULE,11229,1,EA,11229,PO1509210002
D,PO150927,1,PROFESSIONAL SERVICES FOR ELECTRICAL ENGINEERING   DESIGN SERVICES FOR LASM SITE LIGHTING             IMPROVEMENTS - VENDOR SERVICES WILL CONSIST OF     ELECTRICAL DRAWINGS MARKUPS ONLY PER               SPECIFICATIONS (ATTACHMENT 'A'),1200,1,JB,1200,PO1509270001
D,PO150939,1,PROFESSIONAL SERVICES FOR SPECIAL EVENTS AND       PROGRAMS FOR THE EAST BATON ROUGE LIBRARY SYSTEM.  FEATURING AUTHORS SPEAKERS STORYTELLERS         MUSICIANS DANCERS & OTHER PERFORMERS. AS PER     CONTRACT,128000,1,EA,128000,PO1509390001
D,PO150940,1,COPIER RENTAL TASKALFA 5500 I FOR TRAINING        07/01/2015 THROUGH 12/31/2015                      SN: NWN2Z02023                                     STATE CONTRACT: 4400003112 MDM#: 918904,233.07,6,MO,1398.42,PO1509400001
D,PO150940,2,FAX FUNCTIONALITY FOR SEGMENT 4 - 7                07/01/2015 THROUGH 12/31/2015                      SN: NWN2Z02023                                     STATE CONTRACT: 4400003112 MDM#: 918885,18.26,6,MO,109.56,PO1509400002
D,PO150940,3,LARGE CAPACITY PAPER FEED SEGMENT 4 - 7            07/01/2015 THROUGH 12/31/2015                      SN: NWN2Z02023                                     STATE CONTRACT: 4400003112 MDM#: 918890,25.39,6,MO,152.34,PO1509400003
D,PO150940,4,ADDITIONAL PAPER FEED FOR SEGMENT 4 - 7            07/01/2015 THROUGH 12/31/2015                      SN: NWN2Z02023                                     STATE CONTRACT: 4400003112 MDM#: 918870,24.71,6,MO,148.26,PO1509400004
D,PO150940,5,HOLE PUNCH FOR SEGMENT 4 - 7                       07/01/2015 THROUGH 12/31/2015                      SN: NWN2Z 2 23                                     STATE CONTRACT: 4400003112 MDM#: 918888,9.49,6,MO,56.94,PO1509400005
D,PO150940,6,BLACK AND WHITE COPY OVERAGES                      07/01/2015 THROUGH 12/31/2015                      SN: NWN2Z02023                                     STATE CONTRACT: 4400003112 MDM#: 918872,0,7500,EA,32.25,PO1509400006
D,PO150941,1,COPIER RENTAL TASKALFA 5500 I FOR RECRUITING       07/01/2015 THROUGH 12/31/2015                      SN: NWN2Z01867                                     STATE CONTRACT: 4400003112 MDM#: 918904,233.07,6,MO,1398.42,PO1509410001
D,PO150941,2,FAX FUNCTIONALITY FOR SEGMENT 4 - 7                07/01/2015 THROUGH 12/31/2015                      SN: NWN2Z01867                                     STATE CONTRACT: 4400003112 MDM#: 918885,18.26,6,MO,109.56,PO1509410002
D,PO150941,3,LARGE CAPACITY PAPER FEED SEGMENT 4 - 7            07/01/2015 THROUGH 12/31/2015                      SN: NWN2Z01867                                     STATE CONTRACT: 4400003112 MDM#: 918890,25.39,6,MO,152.34,PO1509410003
D,PO150941,4,ADDITIONAL PAPER FEED FOR SEGMENT 4-7              07/01/2015 THROUGH 12/31/2015                      SN: NWN2Z01867                                     STATE CONTRACT: 4400003112 MDM#: 918870,24.71,6,EA,148.26,PO1509410004
D,PO150941,5,HOLE PUNCH FOR SEGMENT 4-7                         07/01/2015 THROUGH 12/31/2015                      SN: NWN2Z01867                                     STATE CONTRACT: 4400003112 MDM#: 918870,9.49,6,MO,56.94,PO1509410005
D,PO150941,6,BLACK AND WHITE COPY OVERAGES                      07/01/2015 THROUGH 12/31/2015                      SN: NWN2Z01867                                     STATE CONTRACT: 4400003112 MDM#: 918872,0,7500,EA,32.25,PO1509410006
D,PO150942,1,COPIER RENTAL TASKALFA 4550CI FOR ADMINISTRATION   07/01/2015 THROUGH 12/31/2015                      SN: NWS3101450                                     STATE CONTRACT: 4400003117 MDM#: 919201,323.45,6,MO,1940.7,PO1509420001
D,PO150942,2,FAX FUNCTIONALITY FOR SEGMENT 4 & 5                07/01/2015 THROUGH 12/31/2015                      SN: NWS3101450                                     STATE CONTRACT: 4400003117 MDM#: 919188,18.26,6,MO,109.56,PO1509420002
D,PO150942,3,LARGE PAPER CAPACITY SEGMET 4 & 5                  07/01/2015 THROUGH 12/31/2015                      SN: NWS3101450                                     STATE CONTRACT: 4400003117 MDM#: 919191,24.71,6,EA,148.26,PO1509420003
D,PO150942,4,LARGE SIDE PAPER CAPACITY SEGMENT 4 & 5            07/01/2015 THROUGH 12/31/2015                      SN: NWS3101450                                     STATE CONTRACT: 44000031117 MDM#: 919192,25.39,6,MO,152.34,PO1509420004
D,PO150942,6,BLACK AND WHITE COPY OVERAGES                      07/01/2015 THROUGH 12/31/2015                      SN: NWS3101450                                     STATE CONTRACT: 44000031177 MDM#: 919180,0.01,10000,EA,70,PO1509420006
D,PO150942,7,COLOR COPY OVERAGES                                07/01/2015 THROUGH 12/31/2015                      SN: NWS3101450                                     STATE CONTRACT: 4400003117 MDM#: 919183,0.04,10000,EA,405,PO1509420007
D,PO150943,1,COPIER RENTAL TASKALFA 4550 CI FOR PAYROLL         07/01/2015 THROUGH 12/31/2015                      SN: NWS3101424                                     STATE CONTRACT: 4400003117 MDM#: 919201,323.45,6,MO,1940.7,PO1509430001
D,PO150943,2,FAX FUNCTIONALITY FOR SEGMENT 4 & 5                07/01/2015 THROUGH 12/31/2015                      SN: NWS3101424                                     STATE CONTRACT: 44000031117 MDM#: 919188,18.26,6,MO,109.56,PO1509430002
D,PO150943,3,LARGE PAPER CAPACITY SEGMENT 4 & 5                 07/01/2015 THROUGH 12/31/2015                      SN: NWS3101424                                     STATE CONTRACT: 4400003117 MDM#: 919191,24.71,6,MO,148.26,PO1509430003
D,PO150943,4,LARGE SIDE PAPER CAPACITY SEGMENT 4 & 5            07/01/2015 THROUGH 12/31/2015                      SN: NWS3101424                                     STATE CONTRACT: 4400003117 MDM#: 919192,25.39,6,MO,152.34,PO1509430004
D,PO150943,5,STAPLE FINISHER SEGMENT 4 & 5                      07/01/2015 THROUGH 12/31/2015                      SN: NWS3101424                                     STATE CONTRACT: 4400003117 MDM: 919202,24.8,6,MO,148.8,PO1509430005
D,PO150943,6,BOOKLET FOLDER/TRI FOLDER SEGMENT 4 & 5            07/01/2015 THROUGH 12/31/2015                      SN: NWS3101424                                     STATE CONTRACT: 4400003117 MDM#: 919177,23.72,6,MO,142.32,PO1509430006
D,PO150943,7,HOLE PUNCH UNIT FOR SEGMENT 4 & 5                  07/01/2015 THROUGH 12/31/2015                      SN: NWS3101424                                     STAE CONTRACT: 4400003117 MDM#: 919189,9.49,6,MO,56.94,PO1509430007
D,PO150943,8,COLOR COPY OVERAGES                                07/01/2015 THROUGH 12/31/2015                      SN: NWS3101424                                     STATE CONTRACT: 4400003117 MDM#: 919183,0.04,10000,EA,405,PO1509430008
D,PO150943,9,BLACK AND WHITE COPY OVERAGES                      07/01/2015 THROUGH 12/31/2015                      SN: NWS3101424                                     STATE CONTRACT: 4400003117 MDM#: 919180,0.01,10000,EA,70,PO1509430009
D,PO150950,1,SCANNER CANNON DR-6010C                           STATE CONTRACT 44000005796/409927 204-68 20109,2158,1,EA,2158,PO1509500001
D,PO150950,2,CANNON ROLLER KIT                                  STATE CONTRACT 44000005796/409927 204-68 20110,53,1,EA,53,PO1509500002
D,PO150950,3,INSTALLATION & TRAINING                            STATE CONTRACT 44000005796/409927 204-68 99777,125,1,EA,125,PO1509500003
D,PO150950,4,AGENCY CONTACT: STEVE MARCHAND 225-389-3070        VENDOR CONTACT: ADVANCED IMAGING SOLUTIONS         VENDOR PHONE NO: 225-216-1999                      PURCHASE ORDER C/O ADVANCED IMAGING SOLUTIONS,0,1,EA,0,PO1509500004
D,PO150952,4,"HON COMPANY         - 10500 SERIES MULTI FILE PED  36""W X 20""D X 28""H. ITEM FINISHES & OPTIONS:       LAMINATE SELECTION: LAM: SHAKER CHERRY (F). LINE 4 ITEM #H10505. (GROUP OPTION 2)                     STATE CONTRACT #409946 LINE #3.",403.87,1,EA,403.87,PO1509520004
D,PO150952,5,HON COMPANY         - 10700 SERIES LATERAL         20D X 36W X 29-5/8H. ITEM FINISHES & OPTIONS:      LAMINATE SELECTION: LAM: SHAKER CHERRY (.FF).      LINE 5 ITEM #H10762. (GROUP OPTION 2)              STATE CONTRACT #409946 LINE #3.,357.75,1,EA,357.75,PO1509520005
D,PO150952,6,"HON COMPANY-DESKING - 10700 SERIES BOOKCASE HUTCH  32-5/8""W X 14-5/8""D. ITEM FINISHES & OPTIONS:      LAMINATE SELECTION: LAM: SHAKER CHERRY (.FF).      LINE 6 ITEM #H107292. (GROUP OPTION 2)             STATE CONTACT #409946 LINE #3.",213.75,1,EA,213.75,PO1509520006
D,PO150952,10,HON COMPANY             - TOWER (RH DRWS/LH DOOR): 24X24X50. ITEM FINISHES & OPTIONS: SELECT CHASSIS  LAMINATE FINISH: LAM: SHAKER CHERRY (.F). SELECT   DRWR FRONT LAM FINISH: LAM: SHAKER CHERRY (.F).    SELECT PULL COLOR: CLR: PLATINUM (.T1). LINE 10,553.87,1,EA,553.87,PO1509520010
D,PO150952,11,"HON COMPANY             - 42""W EXTERNAL STIFFENER. ITEM FINISHES & OPTIONS: SELECT COLOR OPTION:      COLOR: BLACK (.P). LINE 11 ITEM #HLSLZ5SC54.       (GROUP OPTION 1). STATE CONTRACT #409946 LINE #3.",26.62,1,EA,26.62,PO1509520011
D,PO150952,12,"HON COMPANY             - 24""D X 36""W RECTANGLE    WORKSURFACE. ITEM FINISHES & OPTIONS: SELECT       LAMINATE FINISH: LAM: SHAKER CHERRY (.F)._SELECT   EDGEBAND COLOR: EDGE: SHAKER CHERRY (F). SELECT    GROMMET: GROMMETS (.G) SELECT GROMMET CLR: CLR:",69,1,EA,69,PO1509520012
D,PO150952,13,"HON COMPANY             - 24""D X 60""W RECTANGLE    WORKSURFACE. ITEM FINISHES & OPTIONS: SELECT       LAMINATE FINISH: LAM: SHAKER CHERRY (.F). SELECT   EDGEBAND COLOR: EDGE: SHAKER CHERRY (F). SELECT    GROMET: GROMMETS (.G). SELECT GROMMET CLR: CLR:",97.87,1,EA,97.87,PO1509520013
D,PO150952,14,HON COMPANY         - IGNITION WK MID-BCK PNEU SYN TILT BCK ADJ TILT SEAT GLD. ITEM FINISHES &        OPTIONS: SELECT ARM TYPE: ARM: HEIGHT WIDTH &      DEPTH ADJ (.D). SELECT CASTER OPTION: CASTER: SOFT (.S). SELECT BACK: BACK: MESH BACK (.M) SELECT,290.16,2,EA,580.32,PO1509520014
D,PO150959,3,ONSITE INSTALLATION AND CALIBRATION,637.5,2,EA,1275,PO1509590003
D,PO150959,4,ONE YEAR EXTENDED WARRANTY,745,2,EA,1490,PO1509590004
D,PO150962,1,BUILDING ELECTRICAL & MECHANICAL: TO PROVIDE      INSURANCE MATERIALS & LABOR FOR REPAIR PER        SPECIFICATIONS AND SCOPE OF WORK FOR:              OWNER: ORA MAE BROWN                               ADDRESS: 3186 CHARLOTTE DRIVE,17600,1,JB,17600,PO1509620001
D,PO150963,1,4RE IN-CAR CAMERA SYSTEM INCLUDES GPS HIGH       DEFINITION ZERO SIGHTLINE (720P) FORWARD FACING    CAMERA INFRARED COLOR CABIN CAMERA DVR          INTEGRATED 200 GB AUTOMOTIVE GRADE HARD DRIVE 16  GB USB REMOVABLE THUMB DRIVE CABIN MICROPHONE,4795,10,EA,47950,PO1509630001
D,PO150963,2,4RE SYSTEM INSTALLATION IN-CAR (PER UNIT CHARGE)  SVC-4RE-INS-100,350,10,EA,3500,PO1509630002
D,PO150963,3,*** ITEM ADDRED IN ERROR ***,0,1,EA,0,PO1509630003
D,PO150966,1,CONSULTANT SHALL CONDUCT SURVEYS OF AIRPORT FUEL   PRICES FUEL FLOWAGE FEES AND TIE DOWN CHARGES.    ALSO WILL RESEARCH AND PROVIDE HISTORICAL DATA    ON PAST COMMISSION BOARD MEMBERS AND ASSIST WITH   THE ESTABLISHMENT OF THE AIRPORT MUSEUM.,17300,1,JB,17300,PO1509660001
D,PO150967,1,CONTINUATION OF COPIER RENTAL ON TASKALFA 255 PER  STATE CONTRACT #4400001697. LINE 1.                EFFECTIVE JULY 12015 THROUGH DECEMBER 312015.    .                                                  AGENCY CONTACT: ASHLEY MACK - 225-389-8358,108.89,6,MO,653.34,PO1509670001
D,PO150968,1,HON COMPANY-SEATING - NUCLEUS MID BACK WORK CHAIR. ITEM FINISHES & OPTIONS: SELECT ARM TYPE: ARM:     ADJUSTABLE ARM (.A). SELECT CASTER: CASTER:SOFT    (.S) SELECT BACK: BACK: UPHOLSTERED BACK (.UP)     SELECT UPHOLSTERY: GRADE: III UPHOLSTERY ($(3)),328.77,4,EA,1315.08,PO1509680001
D,PO150968,2,HON COMPANY-SEATING - NUCLEUS MID BACK WORK CHAIR. ITEM FINISHES & OPTIONS: SELECT ARM TYPE: ARM:     ADJUSTABLE ARM (.A). SELECT CASTER: CASTER:SOFT    (.S). SELECT BACK: BACK: UPHOLSTERED BACK (.UP).   SELECT UPHOLSTERY: GRADE: III UPHOLSTERY ($(3)).,328.77,1,EA,328.77,PO1509680002
D,PO150968,3,HON COMPANY-SEATING - IGNITION WK MID-BCK PNEU SYN TILT BCK ADJ TILT SEAT GLD. ITEM FINISHES &        OPTIONS: SELECT ARM TYPE: ARM: HEIGHT WIDTH &      DEPTH ADJ (.D). SELECT CASTER OPTION: CASTER: SOFT (.S). SELECT BACK: BACK: MESH BACK (.M). SELECT,290.16,10,EA,2901.6,PO1509680003
D,PO150971,1,2015 DODGE CHARGERRWD 8 CYLINDER ENGINE CODE     PACKAGE LDDE48/29A EXTERIOR-BRIGHT WHITE (PW7)    INTERIOR-BLACK LAW ENFORCEMENT ONLY POLICE       PURSUIT SEDAN                                     CONTRACT #4400005968/409955 MDM #963940,23561,32,EA,753952,PO1509710001
D,PO150971,2,LEFT HAND SPOTLIGHT                                STATE CONTRACT #4400005968/409955                  MDM #963933,187,32,EA,5984,PO1509710002
D,PO150975,1,ARMS ARMORY MANAGEMENT SYSTEM TO INCLUDE THE       FOLLOWING ITEMS:  ARMS SERVER LICENSE PART #A-SL,4375,1,EA,4375,PO1509750001
D,PO150975,2,ARMS USER LICENSES UNLIMITED USERS PART #A-UL,3125,1,EA,3125,PO1509750002
D,PO150975,3,ARMS BAR CODE UTILITY PART #A-BCU,3975,1,EA,3975,PO1509750003
D,PO150975,4,PROFESSIONAL SERVICES: TO INCLUDE REQUIREMENTS     ANALYSIS SOFTWARE CONFIGURATION DATABASE         POPULATION (WEAPON & TASER DATA) PROJECT          MANAGEMENT PART #A-PS,8125,1,EA,8125,PO1509750004
D,PO150975,6,ANNUAL SOFTWARE/HARDWARE SUPPORT & SYSTEM UPGRADES PART #A-AS,3834,1,EA,3834,PO1509750006
D,PO150975,7,USB BAR CODE SCANNER PART #A-UBCS,292.5,3,EA,877.5,PO1509750007
D,PO150975,8,ELECTRONIC SIGNATURE PADS PART #A-ESP,585,2,EA,1170,PO1509750008
D,PO150975,9,*** ITEM ADDED IN ERROR ***,0,1,EA,0,PO1509750009
D,PO150976,1,"HY SECURITY MODEL - 15 222-SS-ST 220VAC SINGLE     PHASE SLIDING VEHICLE GATE OPERATOR 1 FOOT PER     SECOND; HYDRAULIC; 1-HP; 6""DW 1500# SLIDING       GATE OPERATOR; DESIGNED TO BE USED EXISTING        CONTROLS.",8500,2,EA,17000,PO1509760001
D,PO150976,2,"HY SECURITY 12"" BASE RISER EXTENSION",125,2,EA,250,PO1509760002
D,PO150979,3,BOXES FOR PARISH ATTORNEY OFFICES MOVE             FROM 10550 COURSEY BOULEVARD TO                    222 ST LOUIS ST BATON ROUGE LA  70802,2500,1,EA,2500,PO1509790003
D,PO150981,1,HPA071R HON-GSA_DESK                               PARK AVE BOW FRNT BREAK FRNT MOD PANEL 72W X 36D  X 29 1/2. SELECT EDGE DETAIL .B BEADED EDGE        SELECT HANDLE DETAIL .F FLUTED/SATIN NICKEL        SELECT VENEER COLOR .NN VEN: MAHOGANY,1246.02,1,EA,1246.02,PO1509810001
D,PO150981,2,HPA348X HON-GSA_BRIDGE                             PARK AVE BRIDGE 48W X 24D                          SELECT EDGE DETAIL .B BEADED EDGE                  SELECT VENEER COLOR .NN VEN: MAHOGANY              STATE CONTRACT # 409946,297.16,1,EA,297.16,PO1509810002
